year,tokenized offering XAF,net profit XAF,dividend payout ratio,dividends allocated to token holders XAF,annualized ROI %,dividend per Smart-Ticket XAF
1,65591400,95822043.0,0.4,38328817.2,58.4357,383.288172
2,65591400,107400000.0,0.4,42960000.0,65.4964,429.6
3,65591400,120337500.0,0.4,48135000.0,73.3861,481.35
