year,GovTech & Infrastructure revenue XAF,GovTech & Infrastructure COGS XAF,EdTech revenue XAF,EdTech COGS XAF,E-Commerce revenue XAF,E-Commerce COGS XAF,Pharma & Health Tech revenue XAF,Pharma & Health Tech COGS XAF,total revenue XAF,total COGS XAF,gross profit XAF,corporate OPEX XAF,Web3 pipeline fee XAF,EBITDA / net operating profit XAF,net profit XAF
1,75000000.0,0.0,45000000.0,11250000.0,8400000.0,0.0,24000000.0,0.0,152400000.0,11250000.0,141150000.0,45000000.0,327957.0,95822043.0,95822043.0
2,86250000.0,0.0,45000000.0,11250000.0,8400000.0,0.0,24000000.0,0.0,163650000.0,11250000.0,152400000.0,45000000.0,0.0,107400000.0,107400000.0
3,99187500.0,0.0,45000000.0,11250000.0,8400000.0,0.0,24000000.0,0.0,176587500.0,11250000.0,165337500.0,45000000.0,0.0,120337500.0,120337500.0
